001, 01
002, 01
003, 01
004, 01
005, 05
006, 06
007, 07
008, 04
009, 09
010, 04
011, 07
012, 05
013, 01
014, 05
015, 08
016, 04
017, 03
018, 04
019, 05
020, 03
021, 06
022, 08
023, 08
024, 06
025, 06
026, 03
027, 04
028, 07
029, 02
030, 03
031, 01
032, 04
033, 05
034, 03
035, 10
036, 04
037, 04
038, 08
039, 04
040, 08
041, 04
042, 07
043, 02
044, 04
045, 02
046, 08
047, 03
048, 03
049, 03
050, 04
051, 03
052, 04
053, 05
054, 01
055, 04
056, 01
057, 04
058, 04
059, 04
060, 04
061, 05
062, 08
063, 01
064, 02
065, 02
066, 04
067, 05
068, 08
069, 04
070, 04
071, 03
072, 06
073, 05
074, 07
075, 03
076, 07
077, 12
078, 01
079, 04
080, 04
081, 10
082, 04
083, 01
084, 11
085, 04
086, 04
087, 08
088, 08
089, 07
090, 08
091, 04
092, 09
093, 12
094, 05
095, 09
096, 02
097, 08
098, 04
099, 12
100, 01
101, 04
102, 04
103, 04
104, 04
105, 04
106, 04
107, 08
